;Bus no;generation;;;;;;;;;;;
OS no;;1;2;3;4;5;6;7;8;9;10;11;12
;10002;197.9037156;197.0528887;182.1921832;170.9054019;153.8140169;143.0665823;139.7816846;141.0233008;152.4665737;161.6783634;178.2935856;193.2017197
;10003;47.47303201;47.26831903;43.54239881;40.93422617;37.63576359;35.46014268;34.83180934;35.06803941;37.34966167;39.39444972;42.72873156;46.34550223
;10003;84.34597298;84.0561574;78.41622271;74.12509419;67.39982806;63.00409504;61.7220306;62.20405153;66.83012752;70.8263963;77.12734748;82.72588769
;10003;35.8372833;35.65958583;32.63066138;30.6363253;28.47176655;26.99982282;26.56969169;26.73177497;28.27885707;29.66023882;31.97938388;34.87089733
;10003;43.59640139;43.40061891;39.89900858;37.49111305;34.57222665;32.63276008;32.07126652;32.28248372;34.31724144;36.14176099;39.13885425;42.52177731
;10003;11.67081524;11.56597316;10.33922877;9.515772163;9.319320659;9.183160592;9.131619576;9.15158496;9.304803847;9.401266653;9.976468781;11.1363575
;10004;1.305387154;1.302820474;1.307552342;1.346837567;1.364497494;1.359258134;1.359057347;1.358924221;1.363876393;1.371131725;1.323003389;1.297719558
;10004;7.579507654;7.527473686;6.914878056;6.692906523;6.34445633;6.03032173;5.941181858;5.974472113;6.303187981;6.602036476;6.852623541;7.330185096
;10004;12.95163628;12.85698967;11.56895389;11.012071;10.28678553;9.724265044;9.563799536;9.623921102;10.21251215;10.75019596;11.39732054;12.47310118
;10004;0.582469755;0.581427027;0.594846267;0.624701399;0.689815497;0.736016364;0.745999309;0.742382471;0.696728417;0.643168793;0.604721781;0.579237797
;10004;12.04553591;11.95749959;10.78301221;10.28695041;9.629695842;9.109294892;8.960753683;9.016399614;9.561061988;10.0575784;10.63140356;11.60351492
;10004;71.38020274;71.02231785;64.68171529;60.22033186;53.75911531;49.99537704;48.94325751;49.33638408;53.25968141;56.86519273;63.26610306;69.41749026
;10004;20.84163516;20.69766985;18.47895328;17.35099929;15.96739247;15.02801834;14.76300982;14.86223965;15.84217374;16.75570618;18.12013788;20.0838916
;10004;15.59552876;15.48285024;13.87004806;13.12853987;12.19517445;11.50859688;11.31334156;11.38650107;12.10421211;12.76437231;13.6376128;15.01604552
;20009;22.789255;22.65225295;20.60775135;19.39569279;18.4278584;17.81436501;17.65330226;17.71260803;18.34456751;18.98909705;20.1874605;22.06432711
;20009;14.75708344;14.64918955;13.25406991;12.36833352;11.88625685;11.60434263;11.53267169;11.55883676;11.84721936;12.15697766;12.91407597;14.19954406
;20009;34.00942851;33.84085927;31.01874955;29.27394818;27.44350957;26.29978039;25.99571183;26.1080063;27.2896814;28.46229294;30.46102248;33.09966951
;20009;114.4639896;114.1162622;107.4349143;102.6530276;94.52437516;89.35300254;87.88357739;88.43146034;93.86335042;98.60907965;106.021962;112.533691
;20009;16.71941353;16.60353047;15.04229242;14.08621804;13.50088088;13.14325735;13.05115132;13.08489547;13.45174155;13.83811076;14.68564468;16.11664894
;20009;4.699091605;4.649426993;4.138840674;3.480485244;3.240862298;3.225624496;3.224292577;3.224450432;3.237790425;3.267918958;3.861539965;4.446616622
;20009;24.6255193;24.48287231;22.30148163;21.00488372;19.90677641;19.21075462;19.02747079;19.09501055;19.81247578;20.5399335;21.85964908;23.86756312
;20011;15.69936973;15.58439761;14.06766684;13.15076453;12.64181876;12.30834913;12.21591661;12.25012973;12.59796506;12.93517652;13.7139022;15.10727756
;20011;33.02437587;32.85383733;30.07189213;28.30897742;26.47695443;25.30706975;24.98830978;25.10606323;26.32228873;27.4911364;29.49853222;32.10294621
;20011;156.4724051;156.0390573;147.8144394;141.5114046;130.1971454;122.8486548;120.7101507;121.5087263;129.2756395;135.8040673;145.9231121;154.039745
;20011;37.84924105;37.66591499;34.58481668;32.57399244;30.31586748;28.89234378;28.50498985;28.64807999;30.12771666;31.54511628;33.94539003;36.8520014
;20011;21.45298224;21.31667797;19.34052007;18.16765153;17.27529857;16.68187507;16.51871079;16.57903413;17.19706572;17.79310085;18.92210935;20.73587268
;30015;39.15703326;38.87588002;34.61364072;31.1787785;26.73424527;24.22136514;23.52646781;23.78717099;26.41578852;28.89058736;33.51762825;37.65528011
;30015;20.59983599;20.42395874;18.04154592;16.48298126;14.56326948;13.29349555;12.92062471;13.06159327;14.40856745;15.57709052;17.52745825;19.68705291
;30015;37.58225976;37.3092245;33.18911838;29.90683787;25.6856594;23.28010722;22.61234336;22.86299011;25.38154056;27.74208857;32.13949696;36.12544194
;30016;104.1126362;103.6563383;96.29434134;88.5278197;75.1470717;66.85445668;64.57121614;65.43108959;74.11473959;81.79778282;93.98351694;101.618869
;30016;9.75140251;9.654894829;8.514712083;7.852782047;7.574500391;7.243002238;7.116690695;7.166287057;7.541747477;7.734137315;8.215084027;9.265519147
;30016;21.8962729;21.7344783;19.51069103;17.92865253;16.15445634;14.75913631;14.3188563;14.48849371;15.99532431;17.14794171;18.96670157;21.04686234
;30019;321.7105201;320.5452122;300.7585714;280.2086338;239.7030477;208.8658683;199.1599861;202.8566874;236.218433;260.0397818;294.3580797;315.2128545
;30020;265.1057855;264.5765252;255.2918109;243.5964185;216.6825248;193.9471108;186.53085;189.4028345;214.1747267;231.1729123;252.06106;262.1407214
;40024;0;0;0;0;0;0;0;0;0;0;0;0
;40024;0;0;0;0;0;0;0;0;0;0;0;0
;40024;0;0;0;0;0;0;0;0;0;0;0;0
;40024;0;0;0;0;0;0;0;0;0;0;0;0
