;Bus no;Type;Interruption cost (NOK/kWh);demand;;;;;;;;;;;
OS no;;;;1;2;3;4;5;6;7;8;9;10;11;12
;10001;1;100;258.81;257.77;234.24;223.09;205.53;193.14;189.31;190.75;203.89;214.44;230.61;252.68
;10005;1;100;0;0;0;0;0;0;0;0;0;0;0;0
;10006;1;100;323.52;322.22;292.8;278.87;256.91;241.43;236.65;238.44;254.87;268.06;288.27;315.86
;20009;2;100;95.819;94.959;77.891;78.247;78.85;79.255;79.379;79.346;78.891;78.553;77.999;92.636
;20010;1;100;336.15;335.22;315.4;304.43;286.96;274.84;271.31;272.73;285.49;295.71;311.72;329.1
;20012;1;100;208.64;207.84;194.73;188.25;177.7;170.36;168.1;168.76;176.69;182.84;192.57;204.41
;30017;1;100;0;0;0;0;0;0;0;0;0;0;0;0
;30018;1;100;257.34;256.17;248.23;215.64;163.79;127.79;116.96;120.87;159.61;190.25;237.86;250.6
;30020;2;100;331.03;329.83;322.31;291.66;243.61;209.7;199.49;203.69;239.86;268.63;313.24;325.24
;40024;1;100;68.269;67.657;55.496;55.75;56.18;56.468;56.556;56.533;56.209;55.968;55.573;66.002
