Relative factors for the time-dependence of component failure rates;;;;;;;;;;;;;;;;;;
[qm];;;;;;;;;;;;;;;;;;
Type 13 - type 17 includes the generator, turbine, turbine regulator, ventsystem and excitation system;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Type 1;Type 2;Type 3;Type 4;Type 5;Type 6;Type 7;Type 8;Type 9;Type 10;Type 11;Type 12;Type 13;Type 14;Type 15;Type 16;Type 17;Type 18
January;1.332;1.332;1.332;1.332;1.512;1.512;1.512;1.512;0.96;0.96;0.96;0.96;1.1216;1.1216;1.1216;1.1216;1.1216;2.976
February;1.02;1.02;1.02;1.02;0.924;0.924;0.924;0.924;0.864;0.864;0.864;0.864;0.9498;0.9498;0.9498;0.9498;0.9498;1.272
March;0.72;0.72;0.72;0.72;0.924;0.924;0.924;0.924;0.96;0.96;0.96;0.96;0.9003;0.9003;0.9003;0.9003;0.9003;0.684
April;0.348;0.348;0.348;0.348;0.504;0.504;0.504;0.504;0.864;0.864;0.864;0.864;0.8927;0.8927;0.8927;0.8927;0.8927;0.264
May;0.516;0.516;0.516;0.516;1.008;1.008;1.008;1.008;1.488;1.488;1.488;1.488;1.185;1.185;1.185;1.185;1.185;0.516
June;1.224;1.224;1.224;1.224;0.756;0.756;0.756;0.756;0.72;0.72;0.72;0.72;1.3345;1.3345;1.3345;1.3345;1.3345;0.804
July;2.244;2.244;2.244;2.244;1.428;1.428;1.428;1.428;1.536;1.536;1.536;1.536;0.9901;0.9901;0.9901;0.9901;0.9901;1.428
August;1.296;1.296;1.296;1.296;1.344;1.344;1.344;1.344;0.72;0.72;0.72;0.72;0.9761;0.9761;0.9761;0.9761;0.9761;1.032
September;0.516;0.516;0.516;0.516;0.756;0.756;0.756;0.756;0.912;0.912;0.912;0.912;0.876;0.876;0.876;0.876;0.876;0.576
October;0.648;0.648;0.648;0.648;0.588;0.588;0.588;0.588;0.864;0.864;0.864;0.864;0.8818;0.8818;0.8818;0.8818;0.8818;0.552
November;1.02;1.02;1.02;1.02;1.008;1.008;1.008;1.008;1.152;1.152;1.152;1.152;0.9105;0.9105;0.9105;0.9105;0.9105;0.768
December;1.128;1.128;1.128;1.128;1.26;1.26;1.26;1.26;0.96;0.96;0.96;0.96;0.9816;0.9816;0.9816;0.9816;0.9816;1.128
Monday;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.903
Tuesday;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.099
Wednesday;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.064
Thursday;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.197
Friday;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.931
Saturday;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.854
Sunday;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.952
hour 1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.792
hour 2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.48
hour 3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.792
hour 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.744
hour 5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.6
hour 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.696
hour 7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.672
hour 8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.96
hour 9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.512
hour 10;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.32
hour 11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.368
hour 12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.128
hour 13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.272
hour 14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.344
hour 15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.512
hour 16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.608
hour 17;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.272
hour 18;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.96
hour 19;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.32
hour 20;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.816
hour 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.744
hour 22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.6
hour 23;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.72
hour 24;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.768
