Relative factors for the time-dependence of component outage times;;;;;;;;;;;;;;;;;;;;
[rm/rav];;;;;;;;;;;;;;;;;;;;
Type 13 - type 17 includes the generator, turbine, turbine regulator, ventsystem and excitation system;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Type 1;Type 2;Type 3;Type 4;Type 5;Type 6;Type 7;Type 8;Type 9;Type 10;Type 11;Type 12;Type 13;Type 14;Type 15;Type 16;Type 17;Type 18;;
January;1,8326;1,8326;1,8326;1,8326;1,1347;1,1347;1,1347;1,1347;0,5311;0,5311;0,5311;0,5311;0,3992;0,3992;0,3992;0,3992;0,3992;0,846;;
February;0,8629;0,8629;0,8629;0,8629;0,9895;0,9895;0,9895;0,9895;0,0699;0,0699;0,0699;0,0699;1,4273;1,4273;1,4273;1,4273;1,4273;0,846;;
March;2,5450;2,5450;2,5450;2,5450;1,0871;1,0871;1,0871;1,0871;0,8628;0,8628;0,8628;0,8628;0,3427;0,3427;0,3427;0,3427;0,3427;1,123;;
April;0,3041;0,3041;0,3041;0,3041;0,2476;0,2476;0,2476;0,2476;0,0108;0,0108;0,0108;0,0108;0,7125;0,7125;0,7125;0,7125;0,7125;1,123;;
May;0,5925;0,5925;0,5925;0,5925;0,5455;0,5455;0,5455;0,5455;1,6663;1,6663;1,6663;1,6663;0,8902;0,8902;0,8902;0,8902;0,8902;1,123;;
June;0,4126;0,4126;0,4126;0,4126;2,2268;2,2268;2,2268;2,2268;1,0314;1,0314;1,0314;1,0314;2,8172;2,8172;2,8172;2,8172;2,8172;0,813;;
July;0,2912;0,2912;0,2912;0,2912;0,3745;0,3745;0,3745;0,3745;1,3988;1,3988;1,3988;1,3988;0,2220;0,2220;0,2220;0,2220;0,2220;0,813;;
August;0,3073;0,3073;0,3073;0,3073;0,6739;0,6739;0,6739;0,6739;0,0396;0,0396;0,0396;0,0396;2,4423;2,4423;2,4423;2,4423;2,4423;0,813;;
September;1,2000;1,2000;1,2000;1,2000;2,8339;2,8339;2,8339;2,8339;0,1886;0,1886;0,1886;0,1886;0,1567;0,1567;0,1567;0,1567;0,1567;1,217;;
October;1,1780;1,1780;1,1780;1,1780;1,2860;1,2860;1,2860;1,2860;1,2142;1,2142;1,2142;1,2142;0,3445;0,3445;0,3445;0,3445;0,3445;1,217;;
November;0,6067;0,6067;0,6067;0,6067;0,5894;0,5894;0,5894;0,5894;2,6449;2,6449;2,6449;2,6449;0,1037;0,1037;0,1037;0,1037;0,1037;1,217;;
December;1,0024;1,0024;1,0024;1,0024;0,8000;0,8000;0,8000;0,8000;0,5408;0,5408;0,5408;0,5408;0,8539;0,8539;0,8539;0,8539;0,8539;0,846;;
Monday;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,111;;
Tuesday;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,111;;
Wednesday;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,111;;
Thursday;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,111;;
Friday;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,111;;
Saturday;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,16;;
Sunday;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,284;;
hour 1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,359;;
hour 2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,359;;
hour 3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,359;;
hour 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,359;;
hour 5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,359;;
hour 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,359;;
hour 7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,489;;
hour 8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,489;;
hour 9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,869;;
hour 10;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,869;;
hour 11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,869;;
hour 12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,869;;
hour 13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,704;;
hour 14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,704;;
hour 15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,704;;
hour 16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,704;;
hour 17;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,699;;
hour 18;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,699;;
hour 19;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,699;;
hour 20;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,699;;
hour 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,945;;
hour 22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,945;;
hour 23;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,945;;
hour 24;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,945;;
