Relative factors;;;;;;;
Load;;;;;;;
[Pm/Pav];;;;;;;
Reference: ;Excel sheet provided by GKj;;;;;;
;1:Commercial;2:Industry;3:Residential;4:Agriculture;5:Public services;6:Energy-intensive industry;
January;1,1701;1,1173;1,3168;1,1593;1,2117;1,1146;
February;1,1654;1,1130;1,3108;1,1489;1,2073;1,1115;
March;1,0590;1,0428;1,2702;0,9424;1,1798;1,0458;
April;1,0086;1,0081;1,1034;0,9467;1,0676;1,0094;
May;0,9292;0,9516;0,8381;0,9540;0,8917;0,9515;
June;0,8732;0,9123;0,6539;0,9589;0,7676;0,9113;
July;0,8559;0,9002;0,5985;0,9604;0,7302;0,8996;
August;0,8624;0,9037;0,6185;0,9600;0,7456;0,9043;
September;0,9218;0,9462;0,8167;0,9545;0,8780;0,9466;
October;0,9695;0,9791;0,9735;0,9504;0,9833;0,9805;
November;1,0426;1,0312;1,2171;0,9437;1,1466;1,0336;
December;1,1424;1,0946;1,2823;1,1208;1,1905;1,0912;
Monday;1,1038;1,2102;0,9729;1,0021;1,1170;1,2082;
Tuesday;1,1038;1,2102;0,9729;1,0021;1,1170;1,2082;
Wednesday;1,1038;1,2102;0,9729;1,0021;1,1170;1,2082;
Thursday;1,1038;1,2102;0,9729;1,0021;1,1170;1,2082;
Friday;1,1038;1,2102;0,9729;1,0021;1,1170;1,2082;
Saturday;0,7405;0,4744;1,0677;0,9947;0,7076;0,4795;
Sunday;0,7405;0,4744;1,0677;0,9947;0,7076;0,4795;
hour 1;0,7380;0,5716;0,8357;0,8465;0,7783;0,7853;
hour 2;0,7380;0,5716;0,8357;0,8465;0,7783;0,7853;
hour 3;0,7380;0,5716;0,8357;0,8465;0,7783;0,7853;
hour 4;0,7380;0,5716;0,8357;0,8465;0,7783;0,7853;
hour 5;0,7380;0,5716;0,8357;0,8465;0,7783;0,7853;
hour 6;0,7380;0,5716;0,8357;0,8465;0,7783;0,7853;
hour 7;0,7614;0,7150;0,8357;0,8339;0,8478;0,8507;
hour 8;0,7614;0,7150;0,9855;0,8339;0,8478;0,8507;
hour 9;1,3050;1,5063;0,9855;1,1753;1,3531;1,2481;
hour 10;1,3050;1,5063;0,9855;1,1753;1,3531;1,2481;
hour 11;1,3050;1,5063;0,9855;1,1753;1,3531;1,2481;
hour 12;1,3050;1,5063;0,9855;1,1753;1,3531;1,2481;
hour 13;1,3125;1,4805;0,9855;0,9230;1,2726;1,2362;
hour 14;1,3125;1,4805;0,9855;0,9230;1,2726;1,2362;
hour 15;1,3125;1,4805;0,9855;0,9230;1,2726;1,2362;
hour 16;1,3125;1,4805;0,9855;0,9230;1,2726;1,2362;
hour 17;1,0945;1,0215;0,9855;1,2889;0,9468;1,0135;
hour 18;1,0945;1,0215;1,1850;1,2889;0,9468;1,0135;
hour 19;1,0945;1,0215;1,1850;1,2889;0,9468;1,0135;
hour 20;1,0945;1,0215;1,1850;1,2889;0,9468;1,0135;
hour 21;0,8005;0,7767;1,1850;0,9261;0,8362;0,8989;
hour 22;0,8005;0,7767;1,1850;0,9261;0,8362;0,8989;
hour 23;0,8005;0,7767;1,1850;0,9261;0,8362;0,8989;
hour 24;0,8005;0,7767;1,1850;0,9261;0,8362;0,8989;
